onehot__InternetService_DSL,onehot__InternetService_Fiber optic,onehot__InternetService_No,onehot__Contract_Month-to-month,onehot__Contract_One year,onehot__Contract_Two year,onehot__PaymentMethod_Bank transfer (automatic),onehot__PaymentMethod_Credit card (automatic),onehot__PaymentMethod_Electronic check,onehot__PaymentMethod_Mailed check,power__Charges_Total,quantile__tenure,quantile__Charges_Monthly,remainder__SeniorCitizen,remainder__Partner,remainder__Dependents,remainder__OnlineSecurity,remainder__OnlineBackup,remainder__DeviceProtection,remainder__TechSupport,remainder__StreamingTV,remainder__StreamingMovies,remainder__PaperlessBilling
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.5554327262271153,-0.6642872083307604,-0.12233463508974252,0,1,1,0,1,0,1,1,0,1
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.6087092792010033,-0.6642872083307604,-0.22391579796511601,0,0,0,0,0,0,0,0,1,0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.9645314884117362,-0.9856104168672697,0.07912030015842841,0,0,0,0,0,1,0,0,0,1
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0695004119053172,-0.4752137400618248,1.0166723797729535,1,1,0,0,1,1,0,1,1,1
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.9887481779970526,-1.1024403670151643,0.4288926701669886,1,1,0,0,0,0,1,1,0,1
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.5778683992899641,-0.6642872083307604,-0.060363153063468705,0,0,1,0,0,0,1,1,1,1
0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.6476028468438544,1.525529316273139,1.8312243273394455,1,1,0,1,1,1,1,1,1,1
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.221332930239512,0.9377977680303106,0.4668032636545882,0,1,0,1,0,0,1,0,0,1
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.8667428078567799,-0.7782249060548562,-0.507320633346672,1,0,0,1,0,0,0,0,0,1
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.3306658712191513,1.0272467187906675,0.7119811052447251,0,1,1,1,1,1,1,1,1,1
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.47450940925776336,0.6333171952445416,-0.5525368703489748,0,0,0,1,0,0,1,1,0,0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.7267944680097982,5.19933758270342,2.8601713196690524,0,1,1,1,1,1,1,1,1,1
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.8498640083570325,-0.8995338605921868,-0.08163755681937157,0,1,0,0,0,0,0,0,0,1
0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.5500639816446704,5.19933758270342,1.2366522415199066,0,0,0,1,1,1,0,1,0,1
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5089175116281656,0.6943105320478632,-0.5583922312531167,0,0,0,1,1,1,1,0,0,0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.4841542159799639,1.525529316273139,0.9495472701112365,0,1,1,0,1,1,0,0,1,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.2974807383724947,0.12199509496959775,-0.19143919482227148,0,1,1,1,0,1,1,1,1,0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.5351891099965231,-5.199337582605575,0.0470733893522636,1,0,0,0,0,0,0,0,0,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5852063953328545,0.38032564176363115,-0.1744295370175972,1,0,0,1,0,1,0,0,1,0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.8601111073921894,-5.199337582605575,-0.832006270016473,1,0,0,0,0,0,0,0,0,1
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.030233173321097328,0.5120605851503511,-0.8179015356232606,1,1,0,0,0,0,0,0,0,0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.08261261021152135,-0.4752137400618248,0.8284646485811346,0,1,0,0,1,1,0,1,0,0
